Location,Occupation,2003 Total Employees,2003 Hourly Mean,2003 Annual Mean,2003 Hourly Median,2003 Annual Median,2006 Total Employees,2006 Hourly Mean,2006 Annual Mean,2006 Hourly Median,2006 Annual Median,2009 Total Employees,2009 Hourly Mean,2009 Annual Mean,2009 Hourly Median,2009 Annual Median,2012 Total Employees,2012 Hourly Mean,2012 Annual Mean,2012 Hourly Median,2012 Annual Median,2015 Total Employees,2015 Hourly Mean,2015 Annual Mean,2015 Hourly Median,2015 Annual Median,2018 Total Employees
"Abilene, TX ",All Occupations,53600,13.33,27730,10.24,21290,62670,13.77,28650,10.74,22340,63330,16.24,33770,12.49,25970,"62,020",17.31,"36,000",13.56,"28,200","65,070",18.7,"38,900",14.61,"30,400",64300
"Amarillo, TX ",All Occupations,95500,14.32,29790,10.94,22750,106470,15.36,31950,11.85,24640,108690,17.55,36510,13.2,27460,"109,750",18.85,"39,200",14.43,"30,010","114,450",19.66,"40,900",14.93,"31,050",114830
"Austin-San Marcos, TX",All Occupations,651670,18.18,37820,13.95,29010,711080,19.19,39910,14.7,30570,769370,21.72,45180,16.3,33890,"812,600",22.64,"47,080",17.12,"35,620","928,810",23.83,"49,560",17.95,"37,330",1028500
"Beaumont-Port Arthur, TX ",All Occupations,153080,15.58,32410,12.15,25260,154910,16.1,33480,12.94,26910,159930,18.65,38800,14.72,30620,"157,320",20.11,"41,830",16.07,"33,420","164,920",21.51,"44,730",16.88,"35,100",159560
"Brownsville-Harlingen-San Benito, TX ",All Occupations,112320,12.05,25060,8.77,18250,117680,18.44,38360,12.73,26480,122990,18.57,38620,14.03,29180,"125,870",19.39,"40,330",14.44,"30,040","135,710",20.17,"41,960",14.75,"30,680",138510
"Bryan-College Station, TX ",All Occupations,75500,15.69,32630,11.11,23120,88910,15.11,31420,11.65,24230,91360,16.93,35210,13.03,27100,"92,990",18.29,"38,030",13.8,"28,710","189,000",20.18,"41,970",14.95,"31,100",114040
"Corpus Christi, TX ",All Occupations,157030,14.78,30730,11.35,23610,170810,19.68,40940,14.91,31010,177750,22.17,46110,16.61,34560,"181,240",22.81,"47,450",17.15,"35,670","189,000",24.27,"50,480",17.98,"37,400",187540
"Dallas, TX ",All Occupations,1890340,18.35,38170,13.95,29020,1990180,14.68,30540,10.88,22620,2047600,16.37,34050,12.22,25430,"2,097,080",17.09,"35,550",12.36,"25,710","2,329,820",17.78,"36,980",12.7,"26,420",3568180
"El Paso, TX ",All Occupations,251970,13.46,28000,9.94,20680,258140,18.02,37480,13.75,28600,269250,19.78,41140,15.24,31690,"275,400",20.66,"42,970",15.85,"32,970","290,630",21.9,"45,560",16.45,"34,220",304900
"Fort Worth-Arlington, TX ",All Occupations,764710,17.35,36080,13.2,27460,818690,19.09,39710,14.28,29710,856430,21.58,44880,16.16,33620,"879,300",23.49,"48,850",17,"35,350","973,010",24.92,"51,830",18.11,"37,680",1001591
"Houston, TX ",All Occupations,2057880,18.05,37540,13.68,28450,2378080,13.61,28300,9.97,20740,2563840,15.41,32050,11.2,23290,"2,640,640",16.87,"35,090",11.77,"24,480","2,929,970",16.85,"35,050",12.01,"24,970",2982420
"Killeen-Temple, TX ",All Occupations,100720,14.3,29740,10.96,22800,113000,14.99,31170,11.89,24720,121180,17.34,36070,13.63,28340,"127,320",18.28,"38,020",14.36,"29,880","132,490",19.49,"40,530",15.71,"32,670",138520
"Laredo, TX ",All Occupations,74770,13.13,27320,9.54,19850,82410,16,33280,11.46,23840,86940,17.18,35730,12.5,25990,"90,020",16.72,"34,770",12.6,"26,210","96,340",19.07,"39,670",14.06,"29,250",99900
"Longview-Marshall, TX ",All Occupations,91060,14.02,29150,10.96,22790,88160,13.02,27090,9.44,19630,94330,14.93,31060,10.42,21670,"98,130",15.8,"32,870",10.92,"22,710","98,530",16.26,"33,810",11.61,"24,150",91920
"Lubbock, TX ",All Occupations,115560,14.07,29270,10.75,22360,122380,17.27,35920,12.33,25660,123840,19.6,40770,14.52,30210,"125,800",22.74,"47,300",16.67,"34,670","137,110",25.43,"52,890",18.69,"38,880",142240
"McAllen-Edinburg-Mission, TX ",All Occupations,176900,12.38,25740,8.76,18210,203380,15.73,32730,12.42,25830,220110,18.4,38280,14.65,30470,"227,710",20.16,"41,930",15.98,"33,230","243,340",22.98,"47,800",17.92,"37,280",260260
"Odessa-Midland, TX ",All Occupations,102280,14.57,30310,11.08,23060,60170,14.41,29970,10.99,22870,67570,16.52,34370,12.92,26870,"68,070",17.08,"35,520",12.79,"26,610","75,380",17.99,"37,410",13.95,"29,010",76540
"San Angelo, TX ",All Occupations,43760,13.27,27600,10.28,21390,42270,16.08,33460,12.3,25590,43590,18.25,37970,13.76,28610,"44,660",19.59,"40,760",14.44,"30,030","46,450",21.03,"43,740",15.68,"32,610",45880
"San Antonio, TX",All Occupations,704640,15.47,32180,11.62,24170,789240,15.1,31410,12.25,25490,837030,16.69,34720,13.34,27750,"862,280",18.39,"38,250",14.08,"29,290","947,350",18.38,"38,220",14.5,"30,160",1011640
