Location,Total Employee,Year
Abilene,53600,2003-01-01
Amarillo,95500,2003-01-01
Austin,651670,2003-01-01
Beaumont,153080,2003-01-01
Brownsville,112320,2003-01-01
College Station,75500,2003-01-01
Corpus Christi,157030,2003-01-01
Dallas,1890340,2003-01-01
El Paso,251970,2003-01-01
Midland,764710,2003-01-01
Houston,2057880,2003-01-01
Killeen-Temple,100720,2003-01-01
Laredo,74770,2003-01-01
Longview,91060,2003-01-01
Lubbock,115560,2003-01-01
McAllen,176900,2003-01-01
Odessa,102280,2003-01-01
San Angelo,43760,2003-01-01
San Antonio,704640,2003-01-01
Sherman,41130,2003-01-01
Texarkana,50250,2003-01-01
Tyler,84140,2003-01-01
Victoria,34410,2003-01-01
Waco,93520,2003-01-01
Wichita Falls,55330,2003-01-01
Abilene,62670,2006-01-01
Amarillo,106470,2006-01-01
Austin,711080,2006-01-01
Beaumont,154910,2006-01-01
Brownsville,117680,2006-01-01
College Station,88910,2006-01-01
Corpus Christi,170810,2006-01-01
Dallas,1990180,2006-01-01
El Paso,258140,2006-01-01
Midland,818690,2006-01-01
Houston,2378080,2006-01-01
Killeen-Temple,113000,2006-01-01
Laredo,82410,2006-01-01
Longview,88160,2006-01-01
Lubbock,122380,2006-01-01
McAllen,203380,2006-01-01
Odessa,60170,2006-01-01
San Angelo,42270,2006-01-01
San Antonio,789240,2006-01-01
Sherman,41810,2006-01-01
Texarkana,53740,2006-01-01
Tyler,93100,2006-01-01
Victoria,48020,2006-01-01
Waco,97530,2006-01-01
Wichita Falls,59760,2006-01-01
Abilene,63330,2009-01-01
Amarillo,108690,2009-01-01
Austin,769370,2009-01-01
Beaumont,159930,2009-01-01
Brownsville,122990,2009-01-01
College Station,91360,2009-01-01
Corpus Christi,177750,2009-01-01
Dallas,2047600,2009-01-01
El Paso,269250,2009-01-01
Midland,856430,2009-01-01
Houston,2563840,2009-01-01
Killeen-Temple,121180,2009-01-01
Laredo,86940,2009-01-01
Longview,94330,2009-01-01
Lubbock,123840,2009-01-01
McAllen,220110,2009-01-01
Odessa,67570,2009-01-01
San Angelo,43590,2009-01-01
San Antonio,837030,2009-01-01
