State,REGION,Occupation,Total_Employee,Hourly_Mean,Annual_Mean,Year
TX,Abilene,MANAGEMENT OCCUPATIONS,3230,24.56,51080,2000
TX,Abilene,CHIEF EXECUTIVES,270,38.44,79950,2000
TX,Abilene,GENERAL AND OPERATIONS MANAGERS,1310,24.34,50630,2000
TX,Abilene,ADVERTISING AND PROMOTIONS MANAGERS,40,22.63,47060,2000
TX,Abilene,MARKETING MANAGERS,60,24.48,50910,2000
TX,Abilene,SALES MANAGERS,140,24.13,50190,2000
TX,Abilene,PUBLIC RELATIONS MANAGERS,30,20.15,41910,2000
TX,Abilene,ADMINISTRATIVE SERVICES MANAGERS,170,21.93,45610,2000
TX,Abilene,COMPUTER AND INFORMATION SYSTEMS MANAGERS,60,24.19,50310,2000
TX,Abilene,FINANCIAL MANAGERS,210,26.38,54870,2000
TX,Abilene,HUMAN RESOURCES MANAGERS,50,22.12,46020,2000
TX,Abilene,INDUSTRIAL PRODUCTION MANAGERS,30,22.64,47090,2000
TX,Abilene,PURCHASING MANAGERS,60,18.52,38520,2000
TX,Abilene,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",70,25.01,52020,2000
TX,Abilene,CONSTRUCTION MANAGERS,80,23.84,49600,2000
TX,Abilene,"EDUCATION ADMINISTRATORS, ELEMENTARY AND SECONDARY SCHOOL",30,0,56580,2000
TX,Abilene,ENGINEERING MANAGERS,30,36.02,74920,2000
TX,Abilene,FOOD SERVICE MANAGERS,100,13.05,27150,2000
TX,Abilene,MEDICAL AND HEALTH SERVICES MANAGERS,140,23.47,48830,2000
TX,Abilene,"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION MANAGERS",60,14,29110,2000
TX,Abilene,SOCIAL AND COMMUNITY SERVICE MANAGERS,40,18.39,38250,2000
TX,Abilene,BUSINESS AND FINANCIAL OPERATIONS OCCUPATIONS,1240,18.53,38550,2000
TX,Abilene,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND FARM PRODUCTS",60,17.4,36200,2000
TX,Abilene,"CLAIMS ADJUSTERS, EXAMINERS, AND INVESTIGATORS",50,20.36,42350,2000
TX,Abilene,COST ESTIMATORS,60,19.56,40680,2000
TX,Abilene,TRAINING AND DEVELOPMENT SPECIALISTS,160,19.95,41500,2000
TX,Abilene,MEETING AND CONVENTION PLANNERS,0,11.5,23920,2000
TX,Abilene,ACCOUNTANTS AND AUDITORS,310,18.45,38370,2000
TX,Abilene,CREDIT ANALYSTS,0,16.7,34730,2000
TX,Abilene,FINANCIAL ANALYSTS,50,18.88,39280,2000
TX,Abilene,PERSONAL FINANCIAL ADVISORS,60,15.83,32920,2000
TX,Abilene,LOAN OFFICERS,90,21.17,44020,2000
TX,Abilene,COMPUTER AND MATHEMATICAL OCCUPATIONS,310,16.93,35220,2000
TX,Abilene,COMPUTER PROGRAMMERS,50,21.94,45630,2000
TX,Abilene,"COMPUTER SOFTWARE ENGINEERS, APPLICATIONS",30,25.04,52080,2000
TX,Abilene,COMPUTER SUPPORT SPECIALISTS,120,12.05,25060,2000
TX,Abilene,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,30,20.18,41980,2000
TX,Abilene,NETWORK SYSTEMS AND DATA COMMUNICATIONS ANALYSTS,40,13.18,27400,2000
TX,Abilene,ARCHITECTURE AND ENGINEERING OCCUPATIONS,510,18.93,39360,2000
TX,Abilene,SURVEYORS,40,11.63,24200,2000
TX,Abilene,CIVIL ENGINEERS,50,25.83,53730,2000
TX,Abilene,ELECTRICAL ENGINEERS,30,31.35,65210,2000
TX,Abilene,MECHANICAL DRAFTERS,30,14.11,29350,2000
TX,Abilene,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNICIANS,40,19.76,41090,2000
TX,Abilene,SURVEYING AND MAPPING TECHNICIANS,0,20.3,42220,2000
TX,Abilene,"LIFE, PHYSICAL, AND SOCIAL SCIENCE OCCUPATIONS",150,17.1,35570,2000
TX,Abilene,MARKET RESEARCH ANALYSTS,30,12.31,25600,2000
TX,Abilene,"CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS",0,19.25,40040,2000
TX,Abilene,COMMUNITY AND SOCIAL SERVICES OCCUPATIONS,390,14.94,31080,2000
TX,Abilene,"EDUCATIONAL, VOCATIONAL, AND SCHOOL COUNSELORS",60,18.56,38590,2000
TX,Abilene,MEDICAL AND PUBLIC HEALTH SOCIAL WORKERS,40,20.57,42780,2000
TX,Abilene,SOCIAL AND HUMAN SERVICE ASSISTANTS,30,11.14,23170,2000
TX,Abilene,LEGAL OCCUPATIONS,140,28.08,58410,2000
TX,Abilene,LAWYERS,0,38.27,79600,2000
TX,Abilene,PARALEGALS AND LEGAL ASSISTANTS,40,14.36,29860,2000
TX,Abilene,"EDUCATION, TRAINING, AND LIBRARY OCCUPATIONS",2440,14.54,30250,2000
TX,Abilene,"VOCATIONAL EDUCATION TEACHERS, POSTSECONDARY",50,13.89,28890,2000
TX,Abilene,"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",210,6.09,12670,2000
TX,Abilene,"KINDERGARTEN TEACHERS, EXCEPT SPECIAL EDUCATION",0,0,25060,2000
TX,Abilene,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",250,0,33390,2000
TX,Abilene,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND VOCATIONAL EDUCATION",250,0,35230,2000
TX,Abilene,LIBRARIANS,40,19.17,39870,2000
TX,Abilene,LIBRARY TECHNICIANS,30,10.68,22210,2000
TX,Abilene,TEACHER ASSISTANTS,230,0,14900,2000
TX,Abilene,"ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA OCCUPATIONS",600,11.28,23450,2000
TX,Abilene,MULTI-MEDIA ARTISTS AND ANIMATORS,0,17.38,36160,2000
TX,Abilene,GRAPHIC DESIGNERS,40,14.3,29750,2000
