COUNTY,FIPS,REGION
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
Taylor County,48441,Abilene
